year,day,AWI-CM-1-1-MR,CNRM-CM6-1-HR,EC-Earth3-CC
1,91,1.6113395061728395,1.6113395061728395,1.6113395061728395
1,92,0.005175138356747544,0.005175138356747544,0.005175138356747544
1,93,0.005175138356747544,0.005175138356747544,0.005175138356747544
1,94,0.005175138356747544,0.005175138356747544,0.005175138356747544
1,95,0.005175138356747544,0.005175138356747544,0.005175138356747544
1,96,0.005175138356747544,0.005175138356747544,0.005175138356747544
1,97,0.005175138356747544,0.005175138356747544,0.005175138356747544
1,98,0.005175138356747544,0.005175138356747544,0.005175138356747544
1,99,0.005175138356747655,0.005175138356747655,0.005175138356747655
1,100,0.005175138356747544,0.005175138356747544,0.005175138356747544
1,101,0.005175138356747544,0.005175138356747544,0.005175138356747544
1,102,0.005175138356747544,0.005175138356747544,0.005175138356747544
1,103,0.005175138356747544,0.005175138356747544,0.005175138356747544
1,104,0.005175138356747544,0.005175138356747544,0.005175138356747544
1,105,0.005175138356747544,0.005175138356747544,0.005175138356747544
1,106,0.005175138356747544,0.005175138356747544,0.005175138356747544
1,107,0.005175138356747544,0.005175138356747544,0.005175138356747544
1,108,0.005175138356747544,0.005175138356747544,0.005175138356747544
1,109,0.005175138356747544,0.005175138356747544,0.005175138356747544
1,110,0.005175138356747544,0.005175138356747544,0.005175138356747544
1,111,0.005175138356747655,0.005175138356747655,0.005175138356747655
1,112,0.005175138356747544,0.005175138356747544,0.005175138356747544
1,113,0.005175138356747544,0.005175138356747544,0.005175138356747544
1,114,0.005175138356747544,0.005175138356747544,0.005175138356747544
1,115,0.005175138356747544,0.005175138356747544,0.005175138356747544
1,116,0.005175138356747544,0.005175138356747544,0.005175138356747544
1,117,0.005175138356747544,0.005175138356747544,0.005175138356747544
1,118,0.005175138356747544,0.005175138356747544,0.005175138356747544
1,119,0.005175138356747544,0.005175138356747544,0.005175138356747544
1,121,0.005175138356747544,0.005175138356747544,0.005175138356747544
1,122,-0.006258148148148179,-0.006258148148148179,-0.006258148148148179
1,123,-0.006258148148148068,-0.006258148148148068,-0.006258148148148068
1,124,-0.006258148148148179,-0.006258148148148179,-0.006258148148148179
1,125,-0.006258148148148179,-0.006258148148148179,-0.006258148148148179
1,126,-0.006258148148148068,-0.006258148148148068,-0.006258148148148068
1,127,-0.006258148148148179,-0.006258148148148179,-0.006258148148148179
1,128,-0.006258148148148179,-0.006258148148148179,-0.006258148148148179
1,129,-0.006258148148148068,-0.006258148148148068,-0.006258148148148068
1,130,-0.006258148148148179,-0.006258148148148179,-0.006258148148148179
1,131,-0.006258148148148179,-0.006258148148148179,-0.006258148148148179
1,132,-0.006258148148148068,-0.006258148148148068,-0.006258148148148068
1,133,-0.006258148148148179,-0.006258148148148179,-0.006258148148148179
1,134,-0.006258148148148179,-0.006258148148148179,-0.006258148148148179
1,135,-0.006258148148148068,-0.006258148148148068,-0.006258148148148068
1,136,-0.006258148148148179,-0.006258148148148179,-0.006258148148148179
1,137,-0.006258148148148179,-0.006258148148148179,-0.006258148148148179
1,138,-0.006258148148148068,-0.006258148148148068,-0.006258148148148068
1,139,-0.006258148148148179,-0.006258148148148179,-0.006258148148148179
1,140,-0.006258148148148179,-0.006258148148148179,-0.006258148148148179
1,141,-0.006258148148148068,-0.006258148148148068,-0.006258148148148068
1,142,-0.006258148148148179,-0.006258148148148179,-0.006258148148148179
1,143,-0.006258148148148068,-0.006258148148148068,-0.006258148148148068
1,144,-0.00625814814814829,-0.00625814814814829,-0.00625814814814829
1,145,-0.006258148148148068,-0.006258148148148068,-0.006258148148148068
1,146,-0.006258148148148179,-0.006258148148148179,-0.006258148148148179
1,147,-0.006258148148148179,-0.006258148148148179,-0.006258148148148179
1,148,-0.006258148148148068,-0.006258148148148068,-0.006258148148148068
1,149,-0.006258148148148179,-0.006258148148148179,-0.006258148148148179
1,150,-0.006258148148148068,-0.006258148148148068,-0.006258148148148068
1,152,-0.006258148148148179,-0.006258148148148179,-0.006258148148148179
1,153,7.20051085568274e-4,7.20051085568274e-4,7.20051085568274e-4
1,154,7.20051085568385e-4,7.20051085568385e-4,7.20051085568385e-4
1,155,7.20051085568274e-4,7.20051085568274e-4,7.20051085568274e-4
1,156,7.20051085568385e-4,7.20051085568385e-4,7.20051085568385e-4
1,157,7.20051085568274e-4,7.20051085568274e-4,7.20051085568274e-4
1,158,7.20051085568385e-4,7.20051085568385e-4,7.20051085568385e-4
1,159,7.20051085568274e-4,7.20051085568274e-4,7.20051085568274e-4
1,160,7.20051085568385e-4,7.20051085568385e-4,7.20051085568385e-4
1,161,7.20051085568274e-4,7.20051085568274e-4,7.20051085568274e-4
1,162,7.20051085568385e-4,7.20051085568385e-4,7.20051085568385e-4
1,163,7.20051085568274e-4,7.20051085568274e-4,7.20051085568274e-4
1,164,7.20051085568385e-4,7.20051085568385e-4,7.20051085568385e-4
1,165,7.20051085568274e-4,7.20051085568274e-4,7.20051085568274e-4
1,166,7.20051085568385e-4,7.20051085568385e-4,7.20051085568385e-4
1,167,7.20051085568274e-4,7.20051085568274e-4,7.20051085568274e-4
1,168,7.20051085568385e-4,7.20051085568385e-4,7.20051085568385e-4
1,169,7.20051085568274e-4,7.20051085568274e-4,7.20051085568274e-4
1,170,7.20051085568385e-4,7.20051085568385e-4,7.20051085568385e-4
1,171,7.20051085568274e-4,7.20051085568274e-4,7.20051085568274e-4
1,172,7.20051085568385e-4,7.20051085568385e-4,7.20051085568385e-4
1,173,7.20051085568274e-4,7.20051085568274e-4,7.20051085568274e-4
1,174,7.20051085568385e-4,7.20051085568385e-4,7.20051085568385e-4
1,175,7.20051085568274e-4,7.20051085568274e-4,7.20051085568274e-4
1,176,7.20051085568385e-4,7.20051085568385e-4,7.20051085568385e-4
1,177,7.20051085568274e-4,7.20051085568274e-4,7.20051085568274e-4
1,178,7.20051085568385e-4,7.20051085568385e-4,7.20051085568385e-4
1,179,7.20051085568274e-4,7.20051085568274e-4,7.20051085568274e-4
1,180,7.20051085568385e-4,7.20051085568385e-4,7.20051085568385e-4
1,182,7.20051085568274e-4,7.20051085568274e-4,7.20051085568274e-4
1,183,0.0019674074074074177,0.0019674074074074177,0.0019674074074074177
