site,model,experiment,floor_date,NDVI,year
Pallasjarvi,AWI-CM-1-1-MR,ssp585,2022-04-01,0.039356172839506154,2022
Pallasjarvi,AWI-CM-1-1-MR,ssp585,2022-05-01,0.3535814814814815,2022
Pallasjarvi,AWI-CM-1-1-MR,ssp585,2022-06-01,0.6744067901234568,2022
Pallasjarvi,AWI-CM-1-1-MR,ssp585,2022-07-01,0.7132567901234569,2022
Pallasjarvi,AWI-CM-1-1-MR,ssp585,2022-08-01,0.7068320987654322,2022
Pallasjarvi,AWI-CM-1-1-MR,ssp585,2022-09-01,0.6121413580246914,2022
Pallasjarvi,AWI-CM-1-1-MR,ssp585,2022-10-01,0.0985753246753247,2022
Pallasjarvi,AWI-CM-1-1-MR,ssp585,2099-04-01,0.44193307073756327,2099
Pallasjarvi,AWI-CM-1-1-MR,ssp585,2099-05-01,0.5840991774902297,2099
Pallasjarvi,AWI-CM-1-1-MR,ssp585,2099-06-01,0.6355807345126092,2099
Pallasjarvi,AWI-CM-1-1-MR,ssp585,2099-07-01,0.7814818983628646,2099
Pallasjarvi,AWI-CM-1-1-MR,ssp585,2099-08-01,0.686098070710119,2099
Pallasjarvi,AWI-CM-1-1-MR,ssp585,2099-09-01,0.6676440493872469,2099
Pallasjarvi,AWI-CM-1-1-MR,ssp585,2099-10-01,0.3148527140284232,2099
Pallasjarvi,CNRM-CM6-1-HR,ssp585,2022-04-01,0.039356172839506154,2022
Pallasjarvi,CNRM-CM6-1-HR,ssp585,2022-05-01,0.3535814814814815,2022
Pallasjarvi,CNRM-CM6-1-HR,ssp585,2022-06-01,0.6744067901234568,2022
Pallasjarvi,CNRM-CM6-1-HR,ssp585,2022-07-01,0.7132567901234569,2022
Pallasjarvi,CNRM-CM6-1-HR,ssp585,2022-08-01,0.7068320987654322,2022
Pallasjarvi,CNRM-CM6-1-HR,ssp585,2022-09-01,0.6121413580246914,2022
Pallasjarvi,CNRM-CM6-1-HR,ssp585,2022-10-01,0.0985753246753247,2022
Pallasjarvi,CNRM-CM6-1-HR,ssp585,2099-04-01,0.3847673420805223,2099
Pallasjarvi,CNRM-CM6-1-HR,ssp585,2099-05-01,0.5943516943821294,2099
Pallasjarvi,CNRM-CM6-1-HR,ssp585,2099-06-01,0.7179328767305686,2099
Pallasjarvi,CNRM-CM6-1-HR,ssp585,2099-07-01,0.86764707628043225,2099
Pallasjarvi,CNRM-CM6-1-HR,ssp585,2099-08-01,0.7600733530720443,2099
Pallasjarvi,CNRM-CM6-1-HR,ssp585,2099-09-01,0.6093892189700802,2099
Pallasjarvi,CNRM-CM6-1-HR,ssp585,2099-10-01,0.5726076081781831,2099
Pallasjarvi,EC-Earth3-CC,ssp585,2022-04-01,0.039356172839506154,2022
Pallasjarvi,EC-Earth3-CC,ssp585,2022-05-01,0.3535814814814815,2022
Pallasjarvi,EC-Earth3-CC,ssp585,2022-06-01,0.6744067901234568,2022
Pallasjarvi,EC-Earth3-CC,ssp585,2022-07-01,0.7132567901234569,2022
Pallasjarvi,EC-Earth3-CC,ssp585,2022-08-01,0.7068320987654322,2022
Pallasjarvi,EC-Earth3-CC,ssp585,2022-09-01,0.6121413580246914,2022
Pallasjarvi,EC-Earth3-CC,ssp585,2022-10-01,0.0985753246753247,2022
Pallasjarvi,EC-Earth3-CC,ssp585,2099-04-01,0.5697144933829714,2099
Pallasjarvi,EC-Earth3-CC,ssp585,2099-05-01,0.6360062560763959,2099
Pallasjarvi,EC-Earth3-CC,ssp585,2099-06-01,0.8664777516046214,2099
Pallasjarvi,EC-Earth3-CC,ssp585,2099-07-01,0.9570167941520886,2099
Pallasjarvi,EC-Earth3-CC,ssp585,2099-08-01,0.9255704336252402,2099
Pallasjarvi,EC-Earth3-CC,ssp585,2099-09-01,0.675679922707766,2099
Pallasjarvi,EC-Earth3-CC,ssp585,2099-10-01,0.6727450184289481,2099
Stroemsund,AWI-CM-1-1-MR,ssp585,2022-04-01,0.033433823529411766,2022
Stroemsund,AWI-CM-1-1-MR,ssp585,2022-05-01,0.42856296296296303,2022
Stroemsund,AWI-CM-1-1-MR,ssp585,2022-06-01,0.6290722222222223,2022
Stroemsund,AWI-CM-1-1-MR,ssp585,2022-07-01,0.6236388888888889,2022
Stroemsund,AWI-CM-1-1-MR,ssp585,2022-08-01,0.5648524691358026,2022
Stroemsund,AWI-CM-1-1-MR,ssp585,2022-09-01,0.43958395061728395,2022
Stroemsund,AWI-CM-1-1-MR,ssp585,2022-10-01,0.3066917808219178,2022
Stroemsund,AWI-CM-1-1-MR,ssp585,2099-04-01,0.36614213659409045,2099
Stroemsund,AWI-CM-1-1-MR,ssp585,2099-05-01,0.49693321808060703,2099
Stroemsund,AWI-CM-1-1-MR,ssp585,2099-06-01,0.54102558083961,2099
Stroemsund,AWI-CM-1-1-MR,ssp585,2099-07-01,0.6494339648107337,2099
Stroemsund,AWI-CM-1-1-MR,ssp585,2099-08-01,0.7086385214468329,2099
Stroemsund,AWI-CM-1-1-MR,ssp585,2099-09-01,0.5498224668509095,2099
Stroemsund,AWI-CM-1-1-MR,ssp585,2099-10-01,0.5396664874281006,2099
Stroemsund,CNRM-CM6-1-HR,ssp585,2022-04-01,0.033433823529411766,2022
Stroemsund,CNRM-CM6-1-HR,ssp585,2022-05-01,0.42856296296296303,2022
Stroemsund,CNRM-CM6-1-HR,ssp585,2022-06-01,0.6290722222222223,2022
Stroemsund,CNRM-CM6-1-HR,ssp585,2022-07-01,0.6236388888888889,2022
Stroemsund,CNRM-CM6-1-HR,ssp585,2022-08-01,0.5648524691358026,2022
Stroemsund,CNRM-CM6-1-HR,ssp585,2022-09-01,0.43958395061728395,2022
Stroemsund,CNRM-CM6-1-HR,ssp585,2022-10-01,0.3066917808219178,2022
Stroemsund,CNRM-CM6-1-HR,ssp585,2099-04-01,0.4230148728596124,2099
Stroemsund,CNRM-CM6-1-HR,ssp585,2099-05-01,0.5385143926601058,2099
Stroemsund,CNRM-CM6-1-HR,ssp585,2099-06-01,0.6651678464781332,2099
Stroemsund,CNRM-CM6-1-HR,ssp585,2099-07-01,0.7571761164587039,2099
Stroemsund,CNRM-CM6-1-HR,ssp585,2099-08-01,0.7058859898025664,2099
Stroemsund,CNRM-CM6-1-HR,ssp585,2099-09-01,0.6189670309375137,2099
Stroemsund,CNRM-CM6-1-HR,ssp585,2099-10-01,0.5183145095155328,2099
Stroemsund,EC-Earth3-CC,ssp585,2022-04-01,0.033433823529411766,2022
Stroemsund,EC-Earth3-CC,ssp585,2022-05-01,0.42856296296296303,2022
Stroemsund,EC-Earth3-CC,ssp585,2022-06-01,0.6290722222222223,2022
Stroemsund,EC-Earth3-CC,ssp585,2022-07-01,0.6236388888888889,2022
Stroemsund,EC-Earth3-CC,ssp585,2022-08-01,0.5648524691358026,2022
Stroemsund,EC-Earth3-CC,ssp585,2022-09-01,0.43958395061728395,2022
Stroemsund,EC-Earth3-CC,ssp585,2022-10-01,0.3066917808219178,2022
Stroemsund,EC-Earth3-CC,ssp585,2099-04-01,0.45477227562124145,2099
Stroemsund,EC-Earth3-CC,ssp585,2099-05-01,0.5638462452302423,2099
Stroemsund,EC-Earth3-CC,ssp585,2099-06-01,0.716581432730637,2099
Stroemsund,EC-Earth3-CC,ssp585,2099-07-01,0.76988984811668,2099
Stroemsund,EC-Earth3-CC,ssp585,2099-08-01,0.7497036834137782,2099
Stroemsund,EC-Earth3-CC,ssp585,2099-09-01,0.6255227445500483,2099
Stroemsund,EC-Earth3-CC,ssp585,2099-10-01,0.5949763820853609,2099
Konnovesi,AWI-CM-1-1-MR,ssp585,2022-04-01,0.3353567901234568,2022
Konnovesi,AWI-CM-1-1-MR,ssp585,2022-05-01,0.6889833333333334,2022
Konnovesi,AWI-CM-1-1-MR,ssp585,2022-06-01,0.8092530864197531,2022
Konnovesi,AWI-CM-1-1-MR,ssp585,2022-07-01,0.8015938271604939,2022
Konnovesi,AWI-CM-1-1-MR,ssp585,2022-08-01,0.7772012345679012,2022
Konnovesi,AWI-CM-1-1-MR,ssp585,2022-09-01,0.7017043209876543,2022
Konnovesi,AWI-CM-1-1-MR,ssp585,2022-10-01,0.6591197530864198,2022
Konnovesi,AWI-CM-1-1-MR,ssp585,2099-04-01,0.5271450796807232,2099
Konnovesi,AWI-CM-1-1-MR,ssp585,2099-05-01,0.7044205878117836,2099
Konnovesi,AWI-CM-1-1-MR,ssp585,2099-06-01,0.7754966461691855,2099
Konnovesi,AWI-CM-1-1-MR,ssp585,2099-07-01,0.8390870598627475,2099
Konnovesi,AWI-CM-1-1-MR,ssp585,2099-08-01,0.8111802942999276,2099
Konnovesi,AWI-CM-1-1-MR,ssp585,2099-09-01,0.7544751107537637,2099
Konnovesi,AWI-CM-1-1-MR,ssp585,2099-10-01,0.4203864677879079,2099
Konnovesi,CNRM-CM6-1-HR,ssp585,2022-04-01,0.3353567901234568,2022
Konnovesi,CNRM-CM6-1-HR,ssp585,2022-05-01,0.6889833333333334,2022
Konnovesi,CNRM-CM6-1-HR,ssp585,2022-06-01,0.8092530864197531,2022
Konnovesi,CNRM-CM6-1-HR,ssp585,2022-07-01,0.8015938271604939,2022
Konnovesi,CNRM-CM6-1-HR,ssp585,2022-08-01,0.7772012345679012,2022
Konnovesi,CNRM-CM6-1-HR,ssp585,2022-09-01,0.7017043209876543,2022
Konnovesi,CNRM-CM6-1-HR,ssp585,2022-10-01,0.6591197530864198,2022
Konnovesi,CNRM-CM6-1-HR,ssp585,2099-04-01,0.5469047614496828,2099
Konnovesi,CNRM-CM6-1-HR,ssp585,2099-05-01,0.7135121622617413,2099
Konnovesi,CNRM-CM6-1-HR,ssp585,2099-06-01,0.8594796570875147,2099
Konnovesi,CNRM-CM6-1-HR,ssp585,2099-07-01,0.9696791628577184,2099
Konnovesi,CNRM-CM6-1-HR,ssp585,2099-08-01,0.9162414726786765,2099
Konnovesi,CNRM-CM6-1-HR,ssp585,2099-09-01,0.8376101861754176,2099
Konnovesi,CNRM-CM6-1-HR,ssp585,2099-10-01,0.7525308726848332,2099
Konnovesi,EC-Earth3-CC,ssp585,2022-04-01,0.3353567901234568,2022
Konnovesi,EC-Earth3-CC,ssp585,2022-05-01,0.6889833333333334,2022
Konnovesi,EC-Earth3-CC,ssp585,2022-06-01,0.8092530864197531,2022
Konnovesi,EC-Earth3-CC,ssp585,2022-07-01,0.8015938271604939,2022
Konnovesi,EC-Earth3-CC,ssp585,2022-08-01,0.7772012345679012,2022
Konnovesi,EC-Earth3-CC,ssp585,2022-09-01,0.7017043209876543,2022
Konnovesi,EC-Earth3-CC,ssp585,2022-10-01,0.6591197530864198,2022
Konnovesi,EC-Earth3-CC,ssp585,2099-04-01,0.6903642523290283,2099
Konnovesi,EC-Earth3-CC,ssp585,2099-05-01,0.755074925216249,2099
Konnovesi,EC-Earth3-CC,ssp585,2099-06-01,0.9071602718828082,2099
