site,model,experiment,floor_date,NDVI,year
Pallasjarvi,AWI-CM-1-1-MR,ssp245,2022-04-01,0.039356172839506154,2022
Pallasjarvi,AWI-CM-1-1-MR,ssp245,2022-05-01,0.3535814814814815,2022
Pallasjarvi,AWI-CM-1-1-MR,ssp245,2022-06-01,0.6744067901234568,2022
Pallasjarvi,AWI-CM-1-1-MR,ssp245,2022-07-01,0.7132567901234569,2022
Pallasjarvi,AWI-CM-1-1-MR,ssp245,2022-08-01,0.7068320987654322,2022
Pallasjarvi,AWI-CM-1-1-MR,ssp245,2022-09-01,0.6121413580246914,2022
Pallasjarvi,AWI-CM-1-1-MR,ssp245,2022-10-01,0.0985753246753247,2022
Pallasjarvi,AWI-CM-1-1-MR,ssp245,2039-04-01,0.2161827662630505,2039
Pallasjarvi,AWI-CM-1-1-MR,ssp245,2039-05-01,0.5089121854033027,2039
Pallasjarvi,AWI-CM-1-1-MR,ssp245,2039-06-01,0.5738123091345912,2039
Pallasjarvi,AWI-CM-1-1-MR,ssp245,2039-07-01,0.6437727417074475,2039
Pallasjarvi,AWI-CM-1-1-MR,ssp245,2039-08-01,0.5559849135371939,2039
Pallasjarvi,AWI-CM-1-1-MR,ssp245,2039-09-01,0.38283564868597403,2039
Pallasjarvi,AWI-CM-1-1-MR,ssp245,2039-10-01,0.3275112649788011,2039
Pallasjarvi,AWI-CM-1-1-MR,ssp245,2099-04-01,0.14242507147547406,2099
Pallasjarvi,AWI-CM-1-1-MR,ssp245,2099-05-01,0.4870407625524003,2099
Pallasjarvi,AWI-CM-1-1-MR,ssp245,2099-06-01,0.6372444803044783,2099
Pallasjarvi,AWI-CM-1-1-MR,ssp245,2099-07-01,0.6840497752913104,2099
Pallasjarvi,AWI-CM-1-1-MR,ssp245,2099-08-01,0.5489301411162553,2099
Pallasjarvi,AWI-CM-1-1-MR,ssp245,2099-09-01,0.4715332975396642,2099
Pallasjarvi,AWI-CM-1-1-MR,ssp245,2099-10-01,0.22548089623872958,2099
Pallasjarvi,CNRM-CM6-1-HR,ssp245,2022-04-01,0.039356172839506154,2022
Pallasjarvi,CNRM-CM6-1-HR,ssp245,2022-05-01,0.3535814814814815,2022
Pallasjarvi,CNRM-CM6-1-HR,ssp245,2022-06-01,0.6744067901234568,2022
Pallasjarvi,CNRM-CM6-1-HR,ssp245,2022-07-01,0.7132567901234569,2022
Pallasjarvi,CNRM-CM6-1-HR,ssp245,2022-08-01,0.7068320987654322,2022
Pallasjarvi,CNRM-CM6-1-HR,ssp245,2022-09-01,0.6121413580246914,2022
Pallasjarvi,CNRM-CM6-1-HR,ssp245,2022-10-01,0.0985753246753247,2022
Pallasjarvi,CNRM-CM6-1-HR,ssp245,2039-04-01,0.20750584022441054,2039
Pallasjarvi,CNRM-CM6-1-HR,ssp245,2039-05-01,0.4903405125286776,2039
Pallasjarvi,CNRM-CM6-1-HR,ssp245,2039-06-01,0.5723186763918718,2039
Pallasjarvi,CNRM-CM6-1-HR,ssp245,2039-07-01,0.7096491163273466,2039
Pallasjarvi,CNRM-CM6-1-HR,ssp245,2039-08-01,0.5518701975194655,2039
Pallasjarvi,CNRM-CM6-1-HR,ssp245,2039-09-01,0.4696591742413163,2039
Pallasjarvi,CNRM-CM6-1-HR,ssp245,2039-10-01,0.37298243463784275,2039
Pallasjarvi,CNRM-CM6-1-HR,ssp245,2099-04-01,0.344168225283925,2099
Pallasjarvi,CNRM-CM6-1-HR,ssp245,2099-05-01,0.5115514704376748,2099
Pallasjarvi,CNRM-CM6-1-HR,ssp245,2099-06-01,0.6505807223520896,2099
Pallasjarvi,CNRM-CM6-1-HR,ssp245,2099-07-01,0.6492901232353477,2099
Pallasjarvi,CNRM-CM6-1-HR,ssp245,2099-08-01,0.6589516407193114,2099
Pallasjarvi,CNRM-CM6-1-HR,ssp245,2099-09-01,0.5388177240476845,2099
Pallasjarvi,CNRM-CM6-1-HR,ssp245,2099-10-01,0.5199149237602558,2099
Pallasjarvi,EC-Earth3-CC,ssp245,2022-04-01,0.039356172839506154,2022
Pallasjarvi,EC-Earth3-CC,ssp245,2022-05-01,0.3535814814814815,2022
Pallasjarvi,EC-Earth3-CC,ssp245,2022-06-01,0.6744067901234568,2022
Pallasjarvi,EC-Earth3-CC,ssp245,2022-07-01,0.7132567901234569,2022
