"","Parameter","SA.BMadult","SA.BMemb","SA.BMwean","SA.age1stbirth","SA.LpY","SA.LSb","SA.dens"
"perc-resource-cells","perc-resource-cells",12.7500350065711,2.40212916143344,6.66122480041992,19.4301657816428,52.1563791169818,11.8147998500621,26.8110990465599
"max-resources-base","max-resources-base",14.525612460168,3.6120533591188,5.97461591821936,29.2370546127099,43.7499981622533,15.7835519397937,26.6828559269581
"r-growth-ts","r-growth-ts",7.55501347950564,1.39332936575989,2.25388714830993,17.9373323700997,52.7575775835809,11.3958269308076,20.3094466016746
"fragmentation-level","fragmentation-level",16.6776487827802,5.59745735356074,7.46122636634788,21.8981939976436,36.7304102771547,11.5624445765843,18.7296485216978
"n-animals","n-animals",7.60854320494391,1.75225662478146,2.36635239733939,9.32391624756952,33.3334606949437,6.50872318063928,15.7793629851894
"speed-mean","speed-mean",12.0726295559457,2.99733614353262,6.31047876416628,18.3097158788502,51.0934400803765,16.7311619523555,38.5089995849779
"speed-max","speed-max",12.2439207354367,4.15489888912469,6.07155955844367,27.310199446026,34.8501204724948,12.2219334791605,17.7493596626612
"HR-r-min","HR-r-min",12.8431448945482,1.84487961431115,3.38481182077887,32.1749786196945,65.2430874684739,14.3752193093433,24.9171258719664
"HR-r-max","HR-r-max",14.845663092764,5.62332405040465,5.9787008407396,42.9539317618583,32.3705004666199,16.4168904891641,14.059824678596
"B0","B0",18.1329377073811,1.61043069678627,4.98304618501923,17.8522130881125,41.794811253905,9.27554980369889,24.3901530854247
"gamma","gamma",25.2997729959325,9.58913377332641,18.5440806581749,39.2673434577746,63.9018944418667,20.5139933467956,36.4902455746205
"intercept-pcot","intercept-pcot",17.8442334797273,1.99291857371595,3.97489600078871,31.3203954424382,49.9035368286083,8.77140256483855,18.2321400615131
"slope-pcot","slope-pcot",27.6349980423468,5.44613385435476,11.4901684440373,32.5762090412005,79.4539250349861,18.766776012542,38.9576574836856
"intercept-icot","intercept-icot",22.7753137017346,2.14712183091527,2.25281467353377,33.2575664040305,70.1059929190048,16.9684511735572,19.2350098772967
"slope-icot","slope-icot",6.75900041604466,1.03075621259903,1.33864096494873,13.1600088917794,33.3299459541253,8.21611287816949,18.4776686407813
"n-emb-mid","n-emb-mid",19.5983775958564,1.04205294320567,1.90399937572696,16.1966010193943,28.3166917127195,23.1450397749862,25.9005113188575
"emb-growth-c","emb-growth-c",37.9101345509951,56.6693787635641,25.60171304173,42.7773685514741,81.5923470641175,25.7285157762849,19.7525658918247
"emb-mass-init","emb-mass-init",25.5978932041988,11.4487666111451,10.5367683681922,33.8594362856006,63.5612094350709,23.9636043709134,23.2909380620778
