"","perc-resource-cells","max-resources-base","r-growth-ts","fragmentation-level","n-animals","speed-mean","speed-max","HR-r-min","HR-r-max","B0","gamma","intercept-pcot","slope-pcot","intercept-icot","slope-icot","n-emb-mid","emb-growth-c","emb-mass-init","emb-mass-inf","percent-fat-emb","percent-pro-emb","ED-pl","DE-pl","preg-prob-const*","preg-prob-mid*","off-BMR-red","off-growth-eff","milk-prod-eff","lact-prob-const*","lact-prob-mid*","ED-pro","DE-fat","DE-pro","growth-lm-prob-const*","growth-lm-prob-mid*","growth-lm-inf","growth-lm-k","stomach-fill-perc","AE-food","HIF","DM-food","ED-food","ED-fat","EC-pro","gamma-mobilize","perc-water-adi","max-SL","t-mating-start","t-mating-end","t-mature","prob-ovul","t-0","t-gest","t-nurs","t-max-age","surv-prob-const*","surv-prob-mid*","surv-mod-emb*","surv-mod-off*","winter-surv-mid"
"1",0.9,140,0.0121,0.664,100,0.166,0.9864,13.56,33.2,6053.1,0.576,4.7,0.756,10.6,-0.261,6.6,0.1344,6.21e-08,21.9527,0.0418,0.0918,3249.9,0.5511,22.873,0.048,0.5511,1.056,0.9075,22.6224,0.0981,25.85,0.735,0.3996,23.2408,0.0612,0.03168,0.0964,0.04563,0.9196,0.2508,0.603,13509.21,46.92,22.92,0.018,0.119,0.3184,121,327.6,36,0.176,3.2,24,23.1,744,113.6016,0.0144,0.6024,0.633,0.416
"2",0.9,140,0.0121,0.664,100,0.166,0.9864,13.56,33.2,6053.1,0.576,4.7,0.756,10.6,-0.261,6.6,0.1344,6.21e-08,21.9527,0.0418,0.1122,3249.9,0.5511,22.873,0.048,0.5511,1.056,0.9075,22.6224,0.0981,25.85,0.735,0.3996,23.2408,0.0612,0.03168,0.0964,0.04563,0.9196,0.2508,0.603,13509.21,46.92,22.92,0.018,0.119,0.3184,121,327.6,36,0.176,3.2,24,23.1,744,113.6016,0.0144,0.6024,0.633,0.416
"3",0.9,140,0.0099,0.664,100,0.166,0.9864,13.56,33.2,6053.1,0.576,4.7,0.756,10.6,-0.261,6.6,0.1344,6.21e-08,21.9527,0.0418,0.1122,3249.9,0.5511,22.873,0.048,0.5511,1.056,0.9075,22.6224,0.0981,25.85,0.735,0.3996,23.2408,0.0612,0.03168,0.0964,0.04563,0.9196,0.2508,0.603,13509.21,46.92,22.92,0.018,0.119,0.3184,121,327.6,36,0.176,3.2,24,23.1,744,113.6016,0.0144,0.6024,0.633,0.416
"4",0.9,140,0.0099,0.664,100,0.166,0.9864,13.56,33.2,6053.1,0.576,4.7,0.756,10.6,-0.261,6.6,0.1344,6.21e-08,21.9527,0.0418,0.1122,3249.9,0.5511,22.873,0.048,0.5511,1.056,0.9075,22.6224,0.0981,25.85,0.735,0.3996,23.2408,0.0612,0.03168,0.0964,0.04563,0.9196,0.2508,0.603,11052.99,46.92,22.92,0.018,0.119,0.3184,121,327.6,36,0.176,3.2,24,23.1,744,113.6016,0.0144,0.6024,0.633,0.416
"5",0.75,140,0.0099,0.664,100,0.166,0.9864,13.56,33.2,6053.1,0.576,4.7,0.756,10.6,-0.261,6.6,0.1344,6.21e-08,21.9527,0.0418,0.1122,3249.9,0.5511,22.873,0.048,0.5511,1.056,0.9075,22.6224,0.0981,25.85,0.735,0.3996,23.2408,0.0612,0.03168,0.0964,0.04563,0.9196,0.2508,0.603,11052.99,46.92,22.92,0.018,0.119,0.3184,121,327.6,36,0.176,3.2,24,23.1,744,113.6016,0.0144,0.6024,0.633,0.416
"6",0.75,140,0.0099,0.664,100,0.166,0.9864,13.56,26.56,6053.1,0.576,4.7,0.756,10.6,-0.261,6.6,0.1344,6.21e-08,21.9527,0.0418,0.1122,3249.9,0.5511,22.873,0.048,0.5511,1.056,0.9075,22.6224,0.0981,25.85,0.735,0.3996,23.2408,0.0612,0.03168,0.0964,0.04563,0.9196,0.2508,0.603,11052.99,46.92,22.92,0.018,0.119,0.3184,121,327.6,36,0.176,3.2,24,23.1,744,113.6016,0.0144,0.6024,0.633,0.416
"7",0.75,140,0.0099,0.664,100,0.166,0.9864,13.56,26.56,6053.1,0.576,4.7,0.756,10.6,-0.261,6.6,0.1344,6.21e-08,21.9527,0.0418,0.1122,3249.9,0.5511,22.873,0.048,0.5511,1.056,0.9075,22.6224,0.0981,25.85,0.735,0.3996,23.2408,0.0612,0.03168,0.0964,0.04563,0.9196,0.2508,0.603,11052.99,46.92,22.92,0.018,0.119,0.3184,121,327.6,36,0.176,4,24,23.1,744,113.6016,0.0144,0.6024,0.633,0.416
"8",0.75,140,0.0099,0.664,100,0.166,0.9864,13.56,26.56,6053.1,0.576,4.7,0.756,10.6,-0.261,6.6,0.1344,6.21e-08,21.9527,0.0418,0.1122,3249.9,0.5511,22.873,0.048,0.5511,1.056,0.9075,22.6224,0.0981,25.85,0.735,0.3996,23.2408,0.0612,0.03168,0.0964,0.04563,0.9196,0.2508,0.603,11052.99,46.92,22.92,0.018,0.0952,0.3184,121,327.6,36,0.176,4,24,23.1,744,113.6016,0.0144,0.6024,0.633,0.416
"9",0.75,140,0.0099,0.664,100,0.166,0.9864,13.56,26.56,6053.1,0.576,4.7,0.756,10.6,-0.261,6.6,0.1344,6.21e-08,21.9527,0.0418,0.1122,3249.9,0.5511,22.873,0.048,0.5511,1.056,0.9075,22.6224,0.0981,25.85,0.735,0.3996,23.2408,0.0612,0.03168,0.0964,0.04563,0.9196,0.2508,0.603,11052.99,46.92,22.92,0.018,0.0952,0.3184,121,327.6,36,0.176,4,24,23.1,744,113.6016,0.0144,0.502,0.633,0.416
"10",0.75,140,0.0099,0.664,100,0.166,0.9864,13.56,26.56,6053.1,0.576,4.7,0.756,10.6,-0.261,6.6,0.1344,6.21e-08,21.9527,0.0342,0.1122,3249.9,0.5511,22.873,0.048,0.5511,1.056,0.9075,22.6224,0.0981,25.85,0.735,0.3996,23.2408,0.0612,0.03168,0.0964,0.04563,0.9196,0.2508,0.603,11052.99,46.92,22.92,0.018,0.0952,0.3184,121,327.6,36,0.176,4,24,23.1,744,113.6016,0.0144,0.502,0.633,0.416
"11",0.75,140,0.0099,0.664,80,0.166,0.9864,13.56,26.56,6053.1,0.576,4.7,0.756,10.6,-0.261,6.6,0.1344,6.21e-08,21.9527,0.0342,0.1122,3249.9,0.5511,22.873,0.048,0.5511,1.056,0.9075,22.6224,0.0981,25.85,0.735,0.3996,23.2408,0.0612,0.03168,0.0964,0.04563,0.9196,0.2508,0.603,11052.99,46.92,22.92,0.018,0.0952,0.3184,121,327.6,36,0.176,4,24,23.1,744,113.6016,0.0144,0.502,0.633,0.416
