"BehaviorSpace results (NetLogo 6.2.2)"
"/home/gallagher/sensitivity/EBIVModelSAmorris.nlogo"
"SA_morris"
"04/26/2023 12:22:52:741 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","19","0","49"
"[run number]","[step]","perc-resource-cells","max-resources-base","r-growth-ts","fragmentation-level","n-animals","speed-mean","speed-max","HR-r-min","HR-r-max","B0","gamma","intercept-pcot","slope-pcot","intercept-icot","slope-icot","n-emb-range","emb-growth-c","emb-mass-init","emb-mass-inf","percent-fat-emb","percent-pro-emb","ED-pl","DE-pl","preg-prob-const","preg-prob-mid","off-BMR-red","off-growth-eff","milk-prod-eff","lact-prob-const","lact-prob-mid","ED-pro","DE-fat","DE-pro","growth-lm-prob-const","growth-lm-prob-mid","growth-lm-inf","growth-lm-k","stomach-fill-perc","AE-food","HIF","DM-food","ED-food","ED-fat","ED-cpro","gamma-mobilize","perc-water-adi","SL-max","item 0 t-mating","item 1 t-mating","t-mature","prob-ovul","t-0","t-gest","t-nurs","t-max-age","surv-prob-const","surv-prob-mid","surv-mod-embryo","surv-mod-off","item 0 winter-surv + 0.216","SA.BMadult","SA.BMemb","SA.BMwean","SA.age1stbirth","SA.LpY","SA.LSb","SA.dens"
"5","31201","0.75","140","0.0099","0.664","100","0.166","0.9864","13.56","33.2","6053.1","0.576","4.7","0.756","10.6","-0.261","[3 10]","0.1344","6.21E-8","21.9527","0.0418","0.1122","3249.9","0.5511","22.873","0.048","0.5511","1.056","0.9075","22.6224","0.0981","25850000","0.735","0.3996","23.2408","0.0612","0.03168","0.0964","0.04563","0.9196","0.2508","0.603","11052.99","46920000","22920000","0.018","0.119","0.3184","121","327.6","36","0.176","3.2","24","23.1","744","113.6016","0.0144","0.6024","0.633","0.416","28.642270638802476","8.18236714975846","20.7360576923077","88.32743362831859","1.6666666666666667","6","4.5"
"4","31201","0.9","140","0.0099","0.664","100","0.166","0.9864","13.56","33.2","6053.1","0.576","4.7","0.756","10.6","-0.261","[3 10]","0.1344","6.21E-8","21.9527","0.0418","0.1122","3249.9","0.5511","22.873","0.048","0.5511","1.056","0.9075","22.6224","0.0981","25850000","0.735","0.3996","23.2408","0.0612","0.03168","0.0964","0.04563","0.9196","0.2508","0.603","11052.99","46920000","22920000","0.018","0.119","0.3184","121","327.6","36","0.176","3.2","24","23.1","744","113.6016","0.0144","0.6024","0.633","0.416","27.030905195500814","7.835638921453673","19.99467084639497","79.43564356435644","0.8","6.181159420289855","7.099056603773585"
"3","31201","0.9","140","0.0099","0.664","100","0.166","0.9864","13.56","33.2","6053.1","0.576","4.7","0.756","10.6","-0.261","[3 10]","0.1344","6.21E-8","21.9527","0.0418","0.1122","3249.9","0.5511","22.873","0.048","0.5511","1.056","0.9075","22.6224","0.0981","25850000","0.735","0.3996","23.2408","0.0612","0.03168","0.0964","0.04563","0.9196","0.2508","0.603","13509.21","46920000","22920000","0.018","0.119","0.3184","121","327.6","36","0.176","3.2","24","23.1","744","113.6016","0.0144","0.6024","0.633","0.416","28.610455198849937","8.04470046082948","19.33896103896105","86.20930232558139","0.75","6.51","8.433962264150944"
"6","31201","0.75","140","0.0099","0.664","100","0.166","0.9864","13.56","26.56","6053.1","0.576","4.7","0.756","10.6","-0.261","[3 10]","0.1344","6.21E-8","21.9527","0.0418","0.1122","3249.9","0.5511","22.873","0.048","0.5511","1.056","0.9075","22.6224","0.0981","25850000","0.735","0.3996","23.2408","0.0612","0.03168","0.0964","0.04563","0.9196","0.2508","0.603","11052.99","46920000","22920000","0.018","0.119","0.3184","121","327.6","36","0.176","3.2","24","23.1","744","113.6016","0.0144","0.6024","0.633","0.416","31.628286270691365","8.765048543689321","22.369101123595534","179.43421052631578","0.3333333333333333","6.118811881188119","3.047169811320755"
"1","31201","0.9","140","0.0121","0.664","100","0.166","0.9864","13.56","33.2","6053.1","0.576","4.7","0.756","10.6","-0.261","[3 10]","0.1344","6.21E-8","21.9527","0.0418","0.0918","3249.9","0.5511","22.873","0.048","0.5511","1.056","0.9075","22.6224","0.0981","25850000","0.735","0.3996","23.2408","0.0612","0.03168","0.0964","0.04563","0.9196","0.2508","0.603","13509.21","46920000","22920000","0.018","0.119","0.3184","121","327.6","36","0.176","3.2","24","23.1","744","113.6016","0.0144","0.6024","0.633","0.416","28.6856639040736","8.359117896522502","20.35428571428572","92.60810810810811","0.75","6.046153846153846","8.117924528301886"
"8","10369","0.75","140","0.0099","0.664","100","0.166","0.9864","13.56","26.56","6053.1","0.576","4.7","0.756","10.6","-0.261","[3 10]","0.1344","6.21E-8","21.9527","0.0418","0.1122","3249.9","0.5511","22.873","0.048","0.5511","1.056","0.9075","22.6224","0.0981","25850000","0.735","0.3996","23.2408","0.0612","0.03168","0.0964","0.04563","0.9196","0.2508","0.603","11052.99","46920000","22920000","0.018","0.0952","0.3184","121","327.6","36","0.176","4","24","23.1","744","113.6016","0.0144","0.6024","0.633","0.416","0","0","0","0","0","0","0"
"2","31201","0.9","140","0.0121","0.664","100","0.166","0.9864","13.56","33.2","6053.1","0.576","4.7","0.756","10.6","-0.261","[3 10]","0.1344","6.21E-8","21.9527","0.0418","0.1122","3249.9","0.5511","22.873","0.048","0.5511","1.056","0.9075","22.6224","0.0981","25850000","0.735","0.3996","23.2408","0.0612","0.03168","0.0964","0.04563","0.9196","0.2508","0.603","13509.21","46920000","22920000","0.018","0.119","0.3184","121","327.6","36","0.176","3.2","24","23.1","744","113.6016","0.0144","0.6024","0.633","0.416","28.3473887110853","8.194091249065089","19.990862944162462","105.1046511627907","0.25","5.889867841409692","12.75943396226415"
"7","31201","0.75","140","0.0099","0.664","100","0.166","0.9864","13.56","26.56","6053.1","0.576","4.7","0.756","10.6","-0.261","[3 10]","0.1344","6.21E-8","21.9527","0.0418","0.1122","3249.9","0.5511","22.873","0.048","0.5511","1.056","0.9075","22.6224","0.0981","25850000","0.735","0.3996","23.2408","0.0612","0.03168","0.0964","0.04563","0.9196","0.2508","0.603","11052.99","46920000","22920000","0.018","0.119","0.3184","121","327.6","36","0.176","4","24","23.1","744","113.6016","0.0144","0.6024","0.633","0.416","30.003781713738622","8.682173913043497","22.63181818181815","86","0.3333333333333333","6.106194690265487","6.933962264150943"
"9","31201","0.75","140","0.0099","0.664","100","0.166","0.9864","13.56","26.56","6053.1","0.576","4.7","0.756","10.6","-0.261","[3 10]","0.1344","6.21E-8","21.9527","0.0418","0.1122","3249.9","0.5511","22.873","0.048","0.5511","1.056","0.9075","22.6224","0.0981","25850000","0.735","0.3996","23.2408","0.0612","0.03168","0.0964","0.04563","0.9196","0.2508","0.603","11052.99","46920000","22920000","0.018","0.0952","0.3184","121","327.6","36","0.176","4","24","23.1","744","113.6016","0.0144","0.502","0.633","0.416","29.02890212765955","8.439051603905146","21.61041666666668","73.14444444444445","0.2222222222222222","6.345132743362832","6.712264150943396"
"11","31201","0.75","140","0.0099","0.664","80","0.166","0.9864","13.56","26.56","6053.1","0.576","4.7","0.756","10.6","-0.261","[3 10]","0.1344","6.21E-8","21.9527","0.0342","0.1122","3249.9","0.5511","22.873","0.048","0.5511","1.056","0.9075","22.6224","0.0981","25850000","0.735","0.3996","23.2408","0.0612","0.03168","0.0964","0.04563","0.9196","0.2508","0.603","11052.99","46920000","22920000","0.018","0.0952","0.3184","121","327.6","36","0.176","4","24","23.1","744","113.6016","0.0144","0.502","0.633","0.416","30.79473512632432","8.386764705882342","22.05149700598798","98.13274336283186","0.6","6.08955223880597","6.952830188679245"
