"BehaviorSpace results (NetLogo 6.2.2)"
"/home/gallagher/densities/EBIVModelDensTest.nlogo"
"Densities"
"01/04/2023 09:33:31:711 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","39","0","39"
"[run number]","max-resources-base","pcolor-update?","resources-dynamic?","n-food-c","print?","ITV-var-BMR","r-growth-ts","perc-resource-cells","n-animals","debug","out-year","overwinter-skip?","ITV-var-repro","ITV-var-growth","home-ranging?","fragmentation-level","[step]","dens-list"
"5","40","false","false","3","false","0","0.005","0.75","100","Dens","-1","true","0","0","true","0.9","7297","[8 8 8 8 8 7 6 6 6 21 13 5 4 1 1 1 1 0 0 0 0]"
"23","40","false","false","3","false","0","0.005","0.75","100","Dens","-1","true","0","0","true","0.9","6244","[9 9 9 9 9 9 9 7 5 7 12 11 9 6 4 2 1 1]"
"11","40","false","false","3","false","0","0.005","0.75","100","Dens","-1","true","0","0","true","0.9","7729","[6 6 6 6 6 6 6 6 3 12 12 11 8 5 5 5 1 1 0 0 0 0]"
"16","40","false","false","3","false","0","0.005","0.75","100","Dens","-1","true","0","0","true","0.9","37537","[3 3 3 3 3 3 3 2 1 10 11 7 2 2 2 1 1 0 0 1 1 1 0 0 0 0 0 0 1 1 1 1 1 2 2 2 5 5 7 9 9 8 7 10 10 7 7 7 7 7 5 13 14 13 10 5 2 2 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 3 3 3 3 3 5 5 11 10 10 8 9 10 6 6 6 6 3 0 10 12 10 8 7 1 1 1 0 0 0 0]"
"1","40","false","false","3","false","0","0.005","0.75","100","Dens","-1","true","0","0","true","0.9","77290","[5 5 5 5 5 5 5 5 3 10 12 6 6 4 3 3 2 2 1 1 1 1 0 0 0 0 0 0 1 1 1 1 2 2 5 5 5 7 10 9 9 9 11 13 12 2 2 2 2 2 2 3 14 13 11 9 8 4 3 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 2 0 0 0 0 0 0 2 2 2 3 4 4 4 4 4 4 6 5 5 6 5 4 1 1 1 1 1 1 10 10 11 11 12 9 7 5 2 2 3 6 6 5 5 5 1 1 1 1 1 1 1 1 1 1 2 4 4 3 3 3 7 7 6 7 6 5 2 2 2 2 2 2 5 8 8 8 8 7 7 7 5 4 5 4 3 2 1 1 0 0 0 0 0 0 1 4 5 5 6 8 8 9 9 9 13 12 9 10 5 6 6 1 1 1 1 1 1 3 8 8 7 9 9 9 9 9 8 13 15 14 10 9 6]"
"19","40","false","false","3","false","0","0.005","0.75","100","Dens","-1","true","0","0","true","0.9","77290","[4 4 4 3 2 2 2 1 1 8 8 4 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 2 2 2 2 1 1 4 4 4 5 6 6 7 4 4 4 4 4 4 6 8 8 6 6 4 3 3 1 0 2 3 3 2 2 1 1 0 0 0 0 0 0 0 2 2 2 2 2 2 2 2 2 7 13 13 10 9 7 5 0 0 0 0 0 0 3 3 3 3 4 4 4 4 3 7 13 9 5 2 1 1 1 1 1 1 1 1 2 2 2 2 2 1 1 1 1 7 10 11 11 12 8 4 1 1 1 1 1 1 3 7 7 7 9 9 10 9 7 13 9 6 5 5 4 4 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 3 4 4 5 8 7 6 3 3 3 3 3 3 5 6 7 6 6 6 5 4 3 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 2 5 8 8 8 8 8 10 10 9 4 4 2]"
"14","40","false","false","3","false","0","0.005","0.75","100","Dens","-1","true","0","0","true","0.9","77290","[2 2 2 2 2 2 2 1 1 12 12 9 7 3 2 1 0 0 0 0 1 1 0 0 0 0 0 0 1 1 1 1 3 3 5 5 5 7 8 9 9 9 10 5 4 1 1 1 1 1 1 3 10 10 10 14 12 12 8 4 3 3 2 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1 4 4 4 4 5 6 8 8 8 9 10 9 3 3 3 3 3 3 7 7 8 9 8 7 7 5 2 2 3 2 2 1 1 1 1 1 1 1 1 1 3 3 3 2 4 4 4 5 5 4 12 9 8 6 5 5 1 1 1 1 1 1 6 7 8 8 5 4 3 3 2 1 6 3 2 2 2 2 1 1 1 1 1 1 4 6 6 6 6 7 7 6 4 3 5 5 4 4 3 1 0 0 0 0 0 0 2 4 4 4 4 6 6 5 5 7 8 8 8 6 4 5 3 1 1 1 1 1 1 5 8 8 8 9 7 5 4 3 0 2 2 2 1 2 2]"
"22","40","false","false","3","false","0","0.005","0.75","100","Dens","-1","true","0","0","true","0.9","77290","[7 7 7 7 7 7 7 6 5 13 16 11 9 8 4 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 2 2 2 0 0 0 0 0 0 2 6 6 6 7 7 6 6 6 3 2 1 1 1 1 1 1 0 0 0 0 0 0 1 4 5 5 5 9 10 8 9 7 10 12 8 4 3 3 2 2 2 2 2 2 2 7 8 8 9 9 7 6 3 2 0 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5 4 3 3 3 3 2 2 5 10 9 8 8 6 1 1 1 1 1 1 10 12 12 12 13 11 8 5 3 3 4 2 2 2 2 3 3 3 3 3 3 3 4 4 5 5 5 5 5 5 4 4 9 8 5 6 5 5 1 1 1 1 1 1 5 7 6 5 7 8 7 7 7 5 7 7 7 6 4 4 3 1 1 1 1 1 1 2 5 5 5 7 9 9 8 7 5 8 7 5 4 3 4]"
"4","40","false","false","3","false","0","0.005","0.75","100","Dens","-1","true","0","0","true","0.9","77290","[8 8 8 8 8 8 7 7 7 19 5 5 4 4 4 2 2 2 1 1 1 1 0 0 0 0 0 0 1 1 1 1 2 2 2 2 2 2 4 4 4 4 5 5 5 1 1 1 1 1 1 4 8 8 8 14 8 6 3 1 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 3 3 3 3 5 6 7 6 6 9 11 10 1 1 1 1 1 1 10 5 4 4 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 5 5 5 6 6 5 5 5 6 11 10 10 10 12 7 1 1 1 1 1 1 8 8 8 8 10 10 9 5 4 5 9 6 5 5 5 3 0 0 0 0 0 0 9 13 13 14 16 13 13 13 11 3 4 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1 2 2 2 2 2 2 4 3 5 7 7 6 4 4 4 4 4 3 5 4 5 5 3 4 3 3 2 1 2 2 1 0 0 0]"
"9","40","false","false","3","false","0","0.005","0.75","100","Dens","-1","true","0","0","true","0.9","77290","[6 6 6 6 6 6 6 6 5 17 10 7 6 4 3 3 3 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 8 9 8 9 11 9 8 3 3 3 3 3 3 8 13 13 10 8 6 3 3 2 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 3 3 3 3 3 8 8 7 8 14 13 11 5 5 5 5 5 5 21 20 18 12 5 1 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 4 4 4 4 5 5 5 4 4 10 11 11 8 5 4 4 2 2 2 2 2 2 9 12 9 9 13 12 11 10 9 9 10 5 4 3 1 1 0 0 0 0 0 0 0 4 4 4 6 6 7 6 5 7 4 3 2 0 0 0 0 0 0 0 0 0 4 5 6 6 6 8 8 8 8 7 8 7 9 8 6 3 3 1 1 1 1 1 1 3 5 5 5 5 5 5 5 4 3 10 13 12 9 7 6]"
