"export-plot data (NetLogo 6.2.0)"
"EBIVModel.nlogo"
"05/29/2023 11:38:12:454 +0200"

"MODEL SETTINGS"
"surv-mod-embryo","max-resources-base","pcolor-update?","lact-prob-mid","resources-dynamic?","surv-prob-mid","surv-mod-off","print?","itv-var-bmr","preg-prob-mid","r-growth-ts","growth-lm-prob-const","out-year","n-animals","debug","preg-prob-const","growth-lm-prob-mid","overwinter-skip?","perc-resource-cells","lact-prob-const","itv-var-growth","itv-var-repro","home-ranging?","surv-prob-const","fragmentation-level"
"0.74","140","false","0.12","false","0.02","0.32","false","0","0.02","0.011","27.4","5","100","""Dens""","16.48","0.05","true","0.75","38.8","0","0","true","71.29","0.9"

"""Local density per hectare"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","895","0","78.1","true","""0""","false","6"

"pen name","pen down?","mode","interval","color","x"
"""0""","true","0","1","105","808"
"""25""","true","0","1","65","808"
"""50""","true","0","1","45","808"
"""75""","true","0","1","25","808"
"""100""","true","0","1","15","808"
"""Density""","true","0","1","0","808"

"""0""",,,,"""25""",,,,"""50""",,,,"""75""",,,,"""100""",,,,"""Density"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","4.4","105","true","0","8.9","65","true","0","14.2","45","true","0","21.6","25","true","0","41.4","15","true","0","11","0","true"
"1","4.4","105","true","1","8.9","65","true","1","14.2","45","true","1","21.6","25","true","1","41.4","15","true","1","11","0","true"
"2","4.4","105","true","2","8.9","65","true","2","14.2","45","true","2","21.6","25","true","2","41.4","15","true","2","11","0","true"
"3","4.4","105","true","3","8.9","65","true","3","14.2","45","true","3","21.6","25","true","3","41.4","15","true","3","11","0","true"
"4","4.4","105","true","4","8.9","65","true","4","14.2","45","true","4","21.6","25","true","4","41.4","15","true","4","11","0","true"
"5","4.4","105","true","5","8.9","65","true","5","14.2","45","true","5","21.6","25","true","5","41.4","15","true","5","11","0","true"
"6","4.4","105","true","6","8.9","65","true","6","14.2","45","true","6","21.6","25","true","6","41.4","15","true","6","11","0","true"
"7","4.4","105","true","7","8.9","65","true","7","14.2","45","true","7","21.6","25","true","7","41.4","15","true","7","11","0","true"
"8","4.4","105","true","8","8.9","65","true","8","14.2","45","true","8","21.6","25","true","8","41.4","15","true","8","11","0","true"
"9","4.4","105","true","9","8.9","65","true","9","14.2","45","true","9","21.6","25","true","9","41.4","15","true","9","11","0","true"
"10","4.4","105","true","10","8.9","65","true","10","14.2","45","true","10","21.6","25","true","10","41.4","15","true","10","11","0","true"
"11","4.4","105","true","11","8.9","65","true","11","14.2","45","true","11","21.6","25","true","11","41.4","15","true","11","11","0","true"
"12","4.4","105","true","12","8.9","65","true","12","14.2","45","true","12","21.6","25","true","12","41.4","15","true","12","11","0","true"
"13","4.4","105","true","13","8.9","65","true","13","14.2","45","true","13","21.6","25","true","13","41.4","15","true","13","11","0","true"
"14","4.4","105","true","14","8.9","65","true","14","14.2","45","true","14","21.6","25","true","14","41.4","15","true","14","11","0","true"
"15","4.4","105","true","15","8.9","65","true","15","14.2","45","true","15","21.6","25","true","15","41.4","15","true","15","11","0","true"
"16","4.4","105","true","16","8.9","65","true","16","14.2","45","true","16","21.6","25","true","16","41.4","15","true","16","11","0","true"
"17","4.4","105","true","17","8.9","65","true","17","14.2","45","true","17","21.6","25","true","17","41.4","15","true","17","11","0","true"
"18","4.4","105","true","18","8.9","65","true","18","14.2","45","true","18","21.6","25","true","18","41.4","15","true","18","11","0","true"
"19","4.4","105","true","19","8.9","65","true","19","14.2","45","true","19","21.6","25","true","19","41.4","15","true","19","11","0","true"
"20","4.4","105","true","20","8.9","65","true","20","14.2","45","true","20","21.6","25","true","20","41.4","15","true","20","11","0","true"
"21","4.4","105","true","21","8.9","65","true","21","14.2","45","true","21","21.6","25","true","21","41.4","15","true","21","11","0","true"
"22","4.4","105","true","22","8.9","65","true","22","14.2","45","true","22","21.6","25","true","22","41.4","15","true","22","11","0","true"
"23","4.4","105","true","23","8.9","65","true","23","14.2","45","true","23","21.6","25","true","23","41.4","15","true","23","11","0","true"
"24","4.4","105","true","24","8.9","65","true","24","14.2","45","true","24","21.6","25","true","24","41.4","15","true","24","11","0","true"
"25","4.4","105","true","25","8.9","65","true","25","14.2","45","true","25","21.6","25","true","25","41.4","15","true","25","11","0","true"
"26","4.4","105","true","26","8.9","65","true","26","14.2","45","true","26","21.6","25","true","26","41.4","15","true","26","11","0","true"
"27","4.4","105","true","27","8.9","65","true","27","14.2","45","true","27","21.6","25","true","27","41.4","15","true","27","11","0","true"
"28","4.4","105","true","28","8.9","65","true","28","14.2","45","true","28","21.6","25","true","28","41.4","15","true","28","11","0","true"
"29","4.4","105","true","29","8.9","65","true","29","14.2","45","true","29","21.6","25","true","29","41.4","15","true","29","11","0","true"
"30","4.4","105","true","30","8.9","65","true","30","14.2","45","true","30","21.6","25","true","30","41.4","15","true","30","11","0","true"
"31","4.4","105","true","31","8.9","65","true","31","14.2","45","true","31","21.6","25","true","31","41.4","15","true","31","11","0","true"
"32","4.4","105","true","32","8.9","65","true","32","14.2","45","true","32","21.6","25","true","32","41.4","15","true","32","11","0","true"
