"export-plot data (NetLogo 6.2.0)"
"EBIVModel.nlogo"
"11/13/2023 09:40:46:539 +0100"

"MODEL SETTINGS"
"surv-mod-embryo","max-resources-base","pcolor-update?","resources-dynamic?","lact-prob-mid","surv-prob-mid","surv-mod-off","itv-var-bmr","print?","preg-prob-mid","r-growth-ts","out-year","growth-lm-prob-const","n-animals","preg-prob-const","debug","growth-lm-prob-mid","overwinter-skip?","perc-resource-cells","itv-var-repro","itv-var-growth","lact-prob-const","home-ranging?","surv-prob-const","fragmentation-level"
"0.06","140","true","false","0.1","0","0.98","0","false","0.08","0.011","-1","37.9","100","23.04","0","0.07","true","0.75","0","0","27.73","true","102.36","0.9"

"""IR plot"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","4290","-26.7","10","true","""food debt""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""IR""","true","0","1","0","4190"
"""food debt""","true","0","1","5","4190"

"""IR""",,,,"""food debt"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","0","true","0","-0.0500178262513571","5","true"
"1","0.16818847255810515","0","true","1","0","5","true"
"2","0","0","true","2","-0.09974709518845101","5","true"
"3","0","0","true","3","-0.14976589215168504","5","true"
"4","0.2774401896923564","0","true","4","0","5","true"
"5","0","0","true","5","-0.1320897136813092","5","true"
"6","0","0","true","6","-0.18216067018734652","5","true"
"7","0","0","true","7","-0.23221223819527606","5","true"
"8","0","0","true","8","-0.35088080802066535","5","true"
"9","0.4741738815282535","0","true","9","0","5","true"
"10","0","0","true","10","-0.19030416633027206","5","true"
"11","0.286935142654179","0","true","11","-0.02521446747835626","5","true"
"12","0","0","true","12","-0.1602578838233192","5","true"
"13","0","0","true","13","-0.2104755776127807","5","true"
"14","0","0","true","14","-0.2606734585049666","5","true"
"15","0","0","true","15","-0.3743091864178667","5","true"
"16","0","0","true","16","-0.4244173102217718","5","true"
"17","0","0","true","17","-0.47450444641081135","5","true"
"18","0","0","true","18","-0.5245702759488156","5","true"
"19","0.6395967812861396","0","true","19","0","5","true"
"20","0","0","true","20","-0.23938026134225301","5","true"
"21","0","0","true","21","-0.2896988400964169","5","true"
"22","0","0","true","22","-0.3399967537892277","5","true"
"23","0","0","true","23","-0.39027370066412076","5","true"
"24","0","0","true","24","-0.44052936828562533","5","true"
"25","0.557804466866215","0","true","25","0","5","true"
"26","0","0","true","26","-0.2153492068345514","5","true"
"27","0.21368546121091403","0","true","27","-0.13434427784479813","5","true"
"28","0","0","true","28","-0.24801938095550474","5","true"
"29","0","0","true","29","-0.2985162681164184","5","true"
"30","0","0","true","30","-0.3489920763659598","5","true"
"31","0","0","true","31","-0.399446495699271","5","true"
"32","0.5190158755315197","0","true","32","0","5","true"
"33","0","0","true","33","-0.20406052056723492","5","true"
"34","0","0","true","34","-0.2546994048536278","5","true"
"35","0","0","true","35","-0.305317129434009","5","true"
"36","0","0","true","36","-0.35591338600097533","5","true"
"37","0","0","true","37","-0.406487855436695","5","true"
"38","0","0","true","38","-0.4570402074573598","5","true"
"39","0","0","true","39","-0.5075701002486256","5","true"
"40","0.62808234008585","0","true","40","0","5","true"
"41","0","0","true","41","-0.2364335335172615","5","true"
"42","0","0","true","42","-0.28720609587539797","5","true"
"43","0","0","true","43","-0.3379568334343309","5","true"
"44","0","0","true","44","-0.38868542015413904","5","true"
"45","0","0","true","45","-0.439391518649335","5","true"
"46","0","0","true","46","-0.49007477982203046","5","true"
"47","0","0","true","47","-0.5407348424862543","5","true"
"48","0","0","true","48","-0.5914828810385252","5","true"
"49","0.7170784213877941","0","true","49","0","5","true"
"50","0","0","true","50","-0.2630056229997158","5","true"
"51","0","0","true","51","-0.314040537902233","5","true"
"52","0","0","true","52","-0.36505275103474544","5","true"
"53","0","0","true","53","-0.41604191217049347","5","true"
"54","0","0","true","54","-0.46700765896635793","5","true"
"55","0","0","true","55","-0.5179496165777172","5","true"
"56","0","0","true","56","-0.5688674013916021","5","true"
"57","0","0","true","57","-0.6197606500955711","5","true"
"58","0","0","true","58","-0.6706290320367204","5","true"
"59","0","0","true","59","-0.7214722487768658","5","true"
"60","0","0","true","60","-0.7722900335761966","5","true"
"61","0.7824580198491562","0","true","61","-0.11164687442564702","5","true"
"62","0","0","true","62","-0.3940977157097649","5","true"
"63","0","0","true","63","-0.44524444909402566","5","true"
"64","0","0","true","64","-0.49636686100387406","5","true"
"65","0","0","true","65","-0.5474645930407662","5","true"
"66","0","0","true","66","-0.5985373191735787","5","true"
"67","0","0","true","67","-0.6495847452595247","5","true"
"68","0","0","true","68","-0.7006066085353069","5","true"
"69","0","0","true","69","-0.7516026770894911","5","true"
"70","0","0","true","70","-0.8025727493158248","5","true"
"71","0","0","true","71","-0.8535166533472435","5","true"
"72","0","0","true","72","-0.9044342464703395","5","true"
"73","0.7870859685338046","0","true","73","-0.2352102238384245","5","true"
"74","0","0","true","74","-0.5191442467681506","5","true"
"75","0","0","true","75","-0.5703987839055762","5","true"
"76","0","0","true","76","-0.6216276542375069","5","true"
"77","0","0","true","77","-0.6728306262114175","5","true"
"78","0","0","true","78","-0.7240074983392337","5","true"
"79","0","0","true","79","-0.7751580986418919","5","true"
"80","0","0","true","80","-0.8262822840747598","5","true"
"81","0","0","true","81","-0.877379939933721","5","true"
"82","0.7930222288444396","0","true","82","-0.20595327856693735","5","true"
"83","0","0","true","83","-0.49182311094095665","5","true"
"84","0","0","true","84","-0.5432574600432483","5","true"
"85","0.6817266126645494","0","true","85","0","5","true"
"86","0","0","true","86","-0.25322361184010433","5","true"
"87","0","0","true","87","-0.304918827404731","5","true"
"88","0","0","true","88","-0.3565889080777442","5","true"
"89","0","0","true","89","-0.40823354568173253","5","true"
"90","0","0","true","90","-0.4598524629480256","5","true"
"91","0","0","true","91","-0.511445413025605","5","true"
"92","0","0","true","92","-0.5630121789721773","5","true"
"93","0","0","true","93","-0.6145525732271556","5","true"
"94","0","0","true","94","-0.6660664370663173","5","true"
"95","0","0","true","95","-0.7175536400379319","5","true"
"96","0","0","true","96","-0.769117472918186","5","true"
"97","0","0","true","97","-0.8206542689148599","5","true"
"98","0","0","true","98","-0.8721639745166876","5","true"
"99","0","0","true","99","-0.9236465621148642","5","true"
"100","0","0","true","100","-0.9751020293333414","5","true"
"101","0","0","true","101","-1.0265303983397518","5","true"
"102","0","0","true","102","-1.0779317151370353","5","true"
"103","0.8018474062359702","0","true","103","-0.4013913181389541","5","true"
"104","0","0","true","104","-0.6901906820301058","5","true"
"105","0","0","true","105","-0.7419301539687286","5","true"
"106","0","0","true","106","-0.7936424352875291","5","true"
"107","0","0","true","107","-0.8453274958600878","5","true"
"108","0","0","true","108","-0.8969853306818573","5","true"
"109","0","0","true","109","-0.9486159591949144","5","true"
"110","0.8085732594313781","0","true","110","-0.2647589150765537","5","true"
"111","0","0","true","111","-0.5557725240748426","5","true"
"112","0","0","true","112","-0.6077435245750323","5","true"
"113","0","0","true","113","-0.6596872962893047","5","true"
"114","0","0","true","114","-0.7116037796890122","5","true"
"115","0.816255199910229","0","true","115","-0.015033727314779255","5","true"
"116","0","0","true","116","-0.30859971460346297","5","true"
"117","0","0","true","117","-0.3608611908212882","5","true"
"118","0","0","true","118","-0.4130957075671046","5","true"
"119","0","0","true","119","-0.4653031187814509","5","true"
"120","0","0","true","120","-0.5174833058163202","5","true"
"121","0","0","true","121","-0.5696361768634064","5","true"
"122","0","0","true","122","-0.7026414851286775","5","true"
"123","0","0","true","123","-0.7546719822989152","5","true"
"124","0","0","true","124","-0.8066750775468874","5","true"
"125","0","0","true","125","-0.8586508123755421","5","true"
"126","0.819850443567517","0","true","126","-0.16926253817475145","5","true"
"127","0","0","true","127","-0.4639565441480011","5","true"
"128","0","0","true","128","-0.5162716332852649","5","true"
"129","0","0","true","129","-0.5685592447010143","5","true"
"130","0.7105071163125763","0","true","130","0","5","true"
"131","0","0","true","131","-0.2626049086685135","5","true"
"132","0","0","true","132","-0.3151637578306592","5","true"
"133","0","0","true","133","-0.3676952756050986","5","true"
"134","0","0","true","134","-0.4201993551040794","5","true"
"135","0","0","true","135","-0.472675915701349","5","true"
"136","0","0","true","136","-0.5251249024521254","5","true"
"137","0","0","true","137","-0.577546285495391","5","true"
"138","0.7221091118633015","0","true","138","0","5","true"
"139","0","0","true","139","-0.2661743684021509","5","true"
"140","0","0","true","140","-0.31887045236073075","5","true"
"141","0","0","true","141","-0.3715389995776558","5","true"
"142","0","0","true","142","-0.4241799329239515","5","true"
"143","0","0","true","143","-0.47679320071727876","5","true"
"144","0","0","true","144","-0.529475227503384","5","true"
"145","0","0","true","145","-0.5821293625617371","5","true"
"146","0","0","true","146","-0.6347556230309105","5","true"
"147","0","0","true","147","-0.6873540490657286","5","true"
"148","0.8121745726200181","0","true","148","0","5","true"
"149","0","0","true","149","-0.2930420830865524","5","true"
"150","0","0","true","150","-0.34597487690516565","5","true"
"151","0","0","true","151","-0.3988797209981617","5","true"
"152","0.5260602513793298","0","true","152","0","5","true"
"153","0","0","true","153","-0.2086102010569622","5","true"
"154","0","0","true","154","-0.26169397237471154","5","true"
"155","0","0","true","155","-0.3147497816314663","5","true"
"156","0","0","true","156","-0.3677775733540713","5","true"
"157","0","0","true","157","-0.4207773167034475","5","true"
"158","0","0","true","158","-0.47374900487354904","5","true"
"159","0","0","true","159","-0.5266926544731527","5","true"
"160","0","0","true","160","-0.5796083048905264","5","true"
"161","0","0","true","161","-0.632496017641073","5","true"
"162","0","0","true","162","-0.6853558756980954","5","true"
"163","0","0","true","163","-0.7381879828068826","5","true"
"164","0","0","true","164","-0.7909924627823764","5","true"
"165","0","0","true","165","-0.8437694587907425","5","true"
"166","0","0","true","166","-0.8965191326152335","5","true"
"167","0.8441076716395626","0","true","167","-0.18590154293419792","5","true"
"168","0","0","true","168","-0.4885906909725874","5","true"
"169","0","0","true","169","-0.541680896176067","5","true"
"170","0","0","true","170","-0.594743114828067","5","true"
"171","0","0","true","171","-0.6477774428281705","5","true"
"172","0","0","true","172","-0.7007839962872796","5","true"
"173","0.8281954523296765","0","true","173","0","5","true"
"174","0","0","true","174","-0.2982102147796829","5","true"
"175","0","0","true","175","-0.3515523547096583","5","true"
"176","0","0","true","176","-0.4048662737022899","5","true"
"177","0","0","true","177","-0.45815202028953195","5","true"
"178","0","0","true","178","-0.5114096645748926","5","true"
"179","0","0","true","179","-0.5646392975792721","5","true"
"180","0.6886916327296111","0","true","180","0","5","true"
"181","0","0","true","181","-0.2571229207713152","5","true"
"182","0","0","true","182","-0.31061527443369663","5","true"
"183","0","0","true","183","-0.36407933736601017","5","true"
"184","0","0","true","184","-0.41751516390199117","5","true"
"185","0","0","true","185","-0.47092282965943155","5","true"
"186","0","0","true","186","-0.5243024308906419","5","true"
"187","0","0","true","187","-0.5776540838172067","5","true"
"188","0","0","true","188","-0.6309779239493076","5","true"
"189","0","0","true","189","-0.6842741053899468","5","true"
"190","0.8040966218615502","0","true","190","0","5","true"
"191","0","0","true","191","-0.2913882146194148","5","true"
"192","0","0","true","192","-0.345097329442172","5","true"
"193","0.48021489006244655","0","true","193","0","5","true"
"194","0","0","true","194","-0.19585645325588347","5","true"
"195","0","0","true","195","-0.24970960504728223","5","true"
"196","0","0","true","196","-0.30353415876334255","5","true"
"197","0","0","true","197","-0.3573301786677423","5","true"
"198","0","0","true","198","-0.41109774971186036","5","true"
"199","0","0","true","199","-0.4648369768822148","5","true"
"200","0","0","true","200","-0.5185479845325649","5","true"
"201","0","0","true","201","-0.5722309157009825","5","true"
"202","0","0","true","202","-0.62588593141226","5","true"
"203","0","0","true","203","-0.6795132099660879","5","true"
"204","0","0","true","204","-0.7331129462115055","5","true"
"205","0","0","true","205","-0.7866853508082029","5","true"
"206","0","0","true","206","-0.8402306494753318","5","true"
"207","0","0","true","207","-0.8937490822285636","5","true"
"208","0","0","true","208","-0.9472409026062254","5","true"
"209","0","0","true","209","-1.0007063768854298","5","true"
"210","0.8674808330721598","0","true","210","-0.2691615483529205","5","true"
"211","0","0","true","211","-0.5796348119186436","5","true"
"212","0.009459924427233646","0","true","212","-0.7377447793103741","5","true"
"213","0","0","true","213","-0.7942397265165824","5","true"
"214","0","0","true","214","-0.8479049330652885","5","true"
"215","0","0","true","215","-0.9015434851692771","5","true"
"216","0","0","true","216","-0.9551556503077041","5","true"
"217","0","0","true","217","-1.0087417077930638","5","true"
"218","0","0","true","218","-1.0623019479795333","5","true"
"219","0","0","true","219","-1.115836671464855","5","true"
"220","0","0","true","220","-1.1693461882870666","5","true"
"221","0.8703579250361666","0","true","221","-0.4331768038587922","5","true"
"222","0","0","true","222","-0.7447082045975942","5","true"
"223","0","0","true","223","-0.7985481930990239","5","true"
"224","0.8793600939598428","0","true","224","-0.053040822767656315","5","true"
"225","0","0","true","225","-0.3673545074505221","5","true"
"226","0","0","true","226","-0.42153696325789514","5","true"
