[0.16 ,  17 ,  1]
[0.16 ,  17 ,  1]
[0.16 ,  17 ,  1]
[0.16 ,  17 ,  1]
[0.16 ,  17 ,  1]
[0.18 ,  17 ,  1]
[0.18 ,  17 ,  1]
[0.19 ,  17 ,  1]
[0.19 ,  17 ,  1]
[0.19 ,  17 ,  1]
[0.19 ,  17 ,  1]
[0.2 ,  20 ,  2]
[0.2 ,  20 ,  2]
[0.2 ,  20 ,  2]
[0.2 ,  20 ,  2]
[0.2 ,  20 ,  2]
[0.2 ,  20 ,  2]
[0.2 ,  20 ,  2]
[0.2 ,  20 ,  2]
[0.2 ,  20 ,  2]
[0.2 ,  20 ,  2]
[0.19 ,  21 ,  2]
[0.18 ,  21 ,  2]
[0.2 ,  21 ,  2]
[0.18 ,  21 ,  2]
[0.19 ,  21 ,  2]
[0.18 ,  21 ,  2]
[0.19 ,  21 ,  2]
[0.19 ,  21 ,  2]
[0.19 ,  21 ,  2]
[0.19 ,  21 ,  2]
[0.19 ,  22 ,  2]
[0.19 ,  22 ,  2]
[0.19 ,  22 ,  2]
[0.19 ,  22 ,  2]
[0.19 ,  22 ,  2]
[0.18 ,  22 ,  2]
[0.19 ,  22 ,  2]
[0.19 ,  22 ,  2]
[0.19 ,  22 ,  2]
[0.18 ,  22 ,  2]
[0.19 ,  23 ,  2]
[0.19 ,  23 ,  2]
[0.18 ,  23 ,  2]
[0.18 ,  23 ,  2]
[0.19 ,  23 ,  2]
[0.19 ,  23 ,  2]
[0.18 ,  23 ,  2]
[0.19 ,  23 ,  2]
[0.19 ,  23 ,  2]
[0.2 ,  23 ,  2]
[0.18 ,  24 ,  2]
[0.18 ,  24 ,  2]
[0.19 ,  24 ,  2]
[0.18 ,  24 ,  2]
[0.19 ,  24 ,  2]
[0.19 ,  24 ,  2]
[0.19 ,  24 ,  2]
[0.19 ,  24 ,  2]
[0.18 ,  24 ,  2]
[0.19 ,  24 ,  2]
[0.19 ,  25 ,  2]
[0.19 ,  25 ,  2]
[0.19 ,  25 ,  2]
[0.18 ,  25 ,  2]
[0.18 ,  25 ,  2]
[0.18 ,  25 ,  2]
[0.19 ,  25 ,  2]
[0.18 ,  25 ,  2]
[0.18 ,  25 ,  2]
[0.18 ,  25 ,  2]
[0.18 ,  26 ,  2]
[0.18 ,  26 ,  2]
[0.19 ,  26 ,  2]
[0.19 ,  26 ,  2]
[0.18 ,  26 ,  2]
[0.18 ,  26 ,  2]
[0.18 ,  26 ,  2]
[0.19 ,  26 ,  2]
[0.18 ,  26 ,  2]
[0.18 ,  26 ,  2]
[0.18 ,  27 ,  2]
[0.18 ,  27 ,  2]
