[0.25 ,  255.02083333333323 ,  3]
[0.25 ,  248.02083333333323 ,  3]
[0.25 ,  231.02083333333323 ,  3]
[0.25 ,  272.02083333333326 ,  3]
[0.25 ,  255.02083333333323 ,  3]
[0.25 ,  255.02083333333323 ,  3]
[0.25 ,  344.02083333333326 ,  3]
[0.25 ,  255.02083333333323 ,  3]
[0.26 ,  279.02083333333326 ,  3]
[0.25 ,  320.02083333333326 ,  3]
[0.25 ,  620.0208333333333 ,  3]
[0.25 ,  279.02083333333326 ,  3]
[0.25 ,  255.02083333333323 ,  3]
[0.25 ,  255.02083333333323 ,  3]
[0.26 ,  279.02083333333326 ,  3]
[0.25 ,  231.02083333333323 ,  3]
[0.26 ,  255.02083333333323 ,  3]
[0.25 ,  279.02083333333326 ,  3]
[0.25 ,  255.02083333333323 ,  3]
[0.25 ,  279.02083333333326 ,  3]
[0.25 ,  231.02083333333323 ,  3]
[0.25 ,  231.02083333333323 ,  3]
[0.26 ,  255.02083333333323 ,  3]
[0.26 ,  255.02083333333323 ,  3]
[0.25 ,  231.02083333333323 ,  3]
[0.25 ,  231.02083333333323 ,  3]
[0.25 ,  279.02083333333326 ,  3]
[0.26 ,  279.02083333333326 ,  3]
[0.25 ,  255.02083333333323 ,  3]
[0.25 ,  255.02083333333323 ,  3]
[0.26 ,  231.02083333333323 ,  3]
[0.25 ,  255.02083333333323 ,  3]
[0.25 ,  344.02083333333326 ,  3]
[0.25 ,  231.02083333333323 ,  3]
[0.25 ,  255.02083333333323 ,  3]
[0.25 ,  255.02083333333323 ,  3]
[0.25 ,  255.02083333333323 ,  3]
[0.25 ,  231.02083333333323 ,  3]
[0.25 ,  279.02083333333326 ,  3]
[0.25 ,  248.02083333333323 ,  3]
[0.25 ,  255.02083333333323 ,  3]
[0.26 ,  279.02083333333326 ,  3]
[0.25 ,  248.02083333333323 ,  3]
[0.26 ,  279.02083333333326 ,  3]
[0.25 ,  231.02083333333323 ,  3]
[0.25 ,  279.02083333333326 ,  3]
[0.26 ,  255.02083333333323 ,  3]
[0.25 ,  231.02083333333323 ,  3]
[0.26 ,  255.02083333333323 ,  3]
[0.25 ,  279.02083333333326 ,  3]
[0.25 ,  255.02083333333323 ,  3]
[0.25 ,  231.02083333333323 ,  3]
[0.25 ,  255.02083333333323 ,  3]
[0.25 ,  255.02083333333323 ,  3]
[0.25 ,  255.02083333333323 ,  3]
[0.25 ,  231.02083333333323 ,  3]
[0.25 ,  255.02083333333323 ,  3]
[0.25 ,  279.02083333333326 ,  3]
[0.24 ,  279.02083333333326 ,  3]
[0.25 ,  231.02083333333323 ,  3]
